# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 298
#
# Samples: 26K of event 'cycles'
# Event count (approx.): 27671079937
#
# Overhead  Command          Shared Object                Symbol                                                   
# ........  ...............  ...........................  .........................................................
#
     0.02%  iperf3           [kernel.kallsyms]            [k] dequeue_entity
     0.02%  iperf3           [kernel.kallsyms]            [k] __hrtimer_run_queues
     0.02%  iperf3           [kernel.kallsyms]            [k] ip6table_raw_hook
     0.02%  swapper          [kernel.kallsyms]            [k] ip6_dst_destroy
     0.02%  iperf3           [kernel.kallsyms]            [k] release_sock
     0.02%  iperf3           [kernel.kallsyms]            [k] enqueue_task_fair
     0.02%  iperf3           [kernel.kallsyms]            [k] tcp_stream_memory_free
     0.02%  ksoftirqd/3      [kernel.kallsyms]            [k] skb_release_data
     0.02%  Xorg             [kernel.kallsyms]            [k] i915_request_await_object
     0.02%  swapper          [kernel.kallsyms]            [k] tick_nohz_get_sleep_length
     0.02%  iperf3           [kernel.kallsyms]            [k] update_irq_load_avg
     0.02%  iperf3           [kernel.kallsyms]            [k] update_min_vruntime
     0.02%  iperf3           [kernel.kallsyms]            [k] account_entity_enqueue
     0.02%  iperf3           [kernel.kallsyms]            [k] __call_rcu
     0.02%  iperf3           libiperf.so.0.0.0            [.] iperf_send
     0.02%  iperf3           [kernel.kallsyms]            [k] rb_first
     0.02%  iperf3           [kernel.kallsyms]            [k] security_sk_classify_flow
     0.02%  Xorg             [kernel.kallsyms]            [k] rb_erase
     0.02%  iperf3           [kernel.kallsyms]            [k] vfs_write
     0.02%  iperf3           [kernel.kallsyms]            [k] tcp_send_mss
     0.02%  iperf3           [kernel.kallsyms]            [k] update_blocked_averages
     0.02%  iperf3           [kernel.kallsyms]            [k] tcp_rbtree_insert
     0.02%  swapper          [kernel.kallsyms]            [k] update_blocked_averages
     0.02%  iperf3           [kernel.kallsyms]            [k] security_sock_rcv_skb
     0.02%  iperf3           [kernel.kallsyms]            [k] calc_global_load
     0.02%  iperf3           [kernel.kallsyms]            [k] 0x00007fffc13ee5a4
     0.02%  iperf3           [kernel.kallsyms]            [k] __pskb_pull_tail
     0.02%  Xorg             libfb.so                     [.] _fbGetWindowPixmap
     0.02%  swapper          [kernel.kallsyms]            [k] cpuidle_get_cpu_driver
     0.02%  iperf3           [kernel.kallsyms]            [k] tcp_filter
     0.02%  iperf3           [kernel.kallsyms]            [k] select_idle_sibling
