# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 223
#
# Samples: 27K of event 'cycles'
# Event count (approx.): 25727937029
#
# Overhead  Command          Shared Object                            Symbol                                                   
# ........  ...............  .......................................  .........................................................
#
     0.08%  iperf3           [kernel.kallsyms]                        [k] native_sched_clock
     0.08%  Xorg             i965_dri.so                              [.] 0x000000000021e24e
     0.08%  iperf3           [kernel.kallsyms]                        [k] security_file_permission
     0.08%  iperf3           [kernel.kallsyms]                        [k] get_nohz_timer_target
     0.08%  iperf3           [kernel.kallsyms]                        [k] rpfilter_mt
     0.08%  iperf3           [kernel.kallsyms]                        [k] skb_scrub_packet
     0.08%  xfce4-terminal   libvte-2.91.so.0.5600.3                  [.] 0x0000000000034c1e
     0.08%  iperf3           [kernel.kallsyms]                        [k] find_next_bit
     0.08%  iperf3           libc-2.29.so                             [.] read
     0.08%  ksoftirqd/0      [kernel.kallsyms]                        [k] skb_try_coalesce
     0.08%  iperf3           [kernel.kallsyms]                        [k] __fsnotify_parent
     0.08%  iperf3           [kernel.kallsyms]                        [k] mem_cgroup_uncharge
     0.08%  iperf3           [kernel.kallsyms]                        [k] _raw_spin_lock
     0.08%  ksoftirqd/2      [kernel.kallsyms]                        [k] skb_try_coalesce
     0.08%  iperf3           [kernel.kallsyms]                        [k] entry_SYSCALL_64_after_hwframe
     0.07%  iperf3           [kernel.kallsyms]                        [k] tcp_poll
     0.07%  iperf3           [kernel.kallsyms]                        [k] build_skb
     0.07%  swapper          [kernel.kallsyms]                        [k] update_blocked_averages
     0.07%  iperf3           [kernel.kallsyms]                        [k] security_sock_rcv_skb
     0.07%  iperf3           [kernel.kallsyms]                        [k] ktime_get
     0.07%  iperf3           [kernel.kallsyms]                        [k] conntrack_mt_v3
     0.07%  swapper          [kernel.kallsyms]                        [k] rb_next
     0.07%  ksoftirqd/0      [kernel.kallsyms]                        [k] tcp_v6_early_demux
     0.07%  iperf3           [kernel.kallsyms]                        [k] _raw_spin_lock_irqsave
     0.07%  iperf3           [kernel.kallsyms]                        [k] rcu_all_qs
     0.07%  ksoftirqd/0      [kernel.kallsyms]                        [k] kfree
     0.07%  ksoftirqd/2      [kernel.kallsyms]                        [k] kmem_cache_free
     0.07%  ksoftirqd/2      [kernel.kallsyms]                        [k] __inet6_lookup_established
     0.07%  ksoftirqd/3      [kernel.kallsyms]                        [k] tcp_wfree
     0.07%  iperf3           [kernel.kallsyms]                        [k] raw6_local_deliver
     0.07%  iperf3           [kernel.kallsyms]                        [k] bictcp_acked
     0.07%  ksoftirqd/3      [kernel.kallsyms]                        [k] tcp_add_backlog
     0.07%  iperf3           [kernel.kallsyms]                        [k] should_failslab
     0.07%  ksoftirqd/0      [kernel.kallsyms]                        [k] __copy_skb_header
     0.07%  iperf3           [kernel.kallsyms]                        [k] skb_put
     0.07%  ksoftirqd/0      [kernel.kallsyms]                        [k] sk_filter_trim_cap
     0.07%  iperf3           [kernel.kallsyms]                        [k] skb_headers_offset_update
     0.07%  iperf3           [kernel.kallsyms]                        [k] skb_release_head_state
     0.07%  ksoftirqd/2      [kernel.kallsyms]                        [k] skb_copy_bits
     0.06%  ksoftirqd/0      [kernel.kallsyms]                        [k] ip6_rcv_core.isra.0
     0.06%  iperf3           [kernel.kallsyms]                        [k] ip6_dst_alloc
     0.06%  iperf3           [kernel.kallsyms]                        [k] __put_page
     0.06%  swapper          [kernel.kallsyms]                        [k] nmi
     0.06%  ksoftirqd/1      [kernel.kallsyms]                        [k] __netif_receive_skb_core
     0.06%  iperf3           [kernel.kallsyms]                        [k] tcp_rcv_space_adjust
     0.06%  ksoftirqd/2      [kernel.kallsyms]                        [k] ip6_protocol_deliver_rcu
     0.06%  iperf3           [kernel.kallsyms]                        [k] skb_free_head
     0.06%  iperf3           [kernel.kallsyms]                        [k] __update_load_avg_cfs_rq
     0.06%  ksoftirqd/2      [kernel.kallsyms]                        [k] selinux_socket_sock_rcv_skb
     0.06%  iperf3           [kernel.kallsyms]                        [k] irqtime_account_irq
     0.06%  iperf3           [kernel.kallsyms]                        [k] sock_has_perm
     0.06%  ksoftirqd/0      [kernel.kallsyms]                        [k] skb_release_data
     0.06%  ksoftirqd/3      [kernel.kallsyms]                        [k] memcmp
     0.06%  ksoftirqd/0      [kernel.kallsyms]                        [k] kmem_cache_alloc
     0.06%  iperf3           [kernel.kallsyms]                        [k] rb_erase
     0.06%  iperf3           [kernel.kallsyms]                        [k] nf_nat_ipv6_fn
     0.06%  iperf3           [kernel.kallsyms]                        [k] nf_ct_frag6_gather
     0.06%  iperf3           [kernel.kallsyms]                        [k] dst_alloc
     0.06%  ksoftirqd/2      [kernel.kallsyms]                        [k] __alloc_pages_nodemask
     0.06%  ksoftirqd/1      [kernel.kallsyms]                        [k] get_page_from_freelist
     0.05%  iperf3           [kernel.kallsyms]                        [k] check_stack_object
     0.05%  iperf3           [kernel.kallsyms]                        [k] mod_timer
     0.05%  iperf3           libiperf.so.0.0.0                        [.] iperf_tcp_recv
     0.05%  iperf3           [kernel.kallsyms]                        [k] skb_release_all
     0.05%  iperf3           [kernel.kallsyms]                        [k] netlbl_enabled
     0.05%  ksoftirqd/0      [kernel.kallsyms]                        [k] nmi
     0.05%  swapper          [kernel.kallsyms]                        [k] rcu_eqs_exit.constprop.0
     0.05%  iperf3           [kernel.kallsyms]                        [k] ip6table_mangle_hook
     0.05%  ksoftirqd/2      [kernel.kallsyms]                        [k] __cgroup_bpf_run_filter_skb
     0.05%  iperf3           [kernel.kallsyms]                        [k] __softirqentry_text_start
     0.05%  Xorg             i965_dri.so                              [.] 0x00000000000c2275
     0.05%  iperf3           [kernel.kallsyms]                        [k] update_rq_clock
     0.05%  ksoftirqd/0      [kernel.kallsyms]                        [k] __slab_free
     0.05%  iperf3           [kernel.kallsyms]                        [k] ktime_get_ts64
     0.05%  ksoftirqd/0      [kernel.kallsyms]                        [k] __alloc_pages_nodemask
